wave,ordem,url_slug,tipo_pagina,acao,cluster,entidade,keyword_alvo,volume,kd_estimado,intent,persona_primaria,pain_layer,jtbd,schwartz,gerador_prd,status_atual,prazo_semana,titulo_sugerido,observacoes
W0,11,/sobre-a-agita-morango/,Institucional,UPDATE,Brand,Afetiva Methodology,agita morango 15 anos recreacao,0,baixo,Brand,P1,Real,J11 - Verificar credibilidade empresa,Most Aware,Avatar Humano,BRAND existente,Sem 1,Sobre a Agita Morango | 15 Anos de Recreacao Infantil em SP,Atualizar: 15 anos + Afetiva Methodology + clientes premium. E-E-A-T boost.
W1,12,/empresa-de-recreacao-em-sao-paulo/,LP Servico,OTIMIZAR,Recreacao,Recreacao Infantil Festas,empresa de recreacao infantil sp,110,baixo,Comercial,P1,Declarada,J1 - Escolher empresa confiavel,Solution Aware,Perturbacao,CANIBAL Home pos 16,Sem 4,Empresa de Recreacao Infantil em Sao Paulo | Agita Morango,Hub B2C. Diferenciar da Home. Linkagem interna para todas as LPs de servico.
W1,13,/kids-day-e-family-day-corporativo-em-sao-paulo/,Hub Corporativo,REWRITE,Corporativo,Eventos Corporativos Infantis,kids day corporativo sao paulo,180,baixo,Comercial,P9,Declarada,J8 - Organizar evento corporativo kids,Product Aware,Frame Shift,SEM_KW existente,Sem 4,Kids Day Corporativo em SP | Family Day | Agita Morango,Recebe redirect de /kids-day-e-family-day-em-sao-paulo/ (URL orfa pos 92).
W1,14,/ativacoes-de-marca-com-criancas-em-sao-paulo/,LP Corporativa,REWRITE,Corporativo,Eventos Corporativos Infantis,ativacoes de marca com criancas sp,110,baixo,Comercial,P10,Declarada,J9 - Ativacao sensorial marca,Product Aware,Prediction Error,SEM_KW existente,Sem 4,Ativacoes de Marca com Criancas em SP | Agita Morango,Recebe redirect de /ativacoes-de-marca-experiencias-sensoriais-sp/ (pos 62).
W1,15,/blog/brincadeiras-dirigidas-educacao/,Blog,CRIAR,Educacional,Recreacao Infantil Festas,brincadeiras dirigidas para educacao infantil,320,baixo,Informacional,P9,Declarada,J12 - Atividades estruturadas para aprendizagem,Unaware,Perturbacao,NOVA,Sem 4,Brincadeiras Dirigidas para Educacao Infantil: Guia Completo,Blog educacional. Captura P9/P10 (educadores). Topo de funil amplo.
W1,16,/blog/diferenca-animador-recreador/,Blog,CRIAR,Semantico,Animacao Infantil,diferenca entre animador e recreador de festas,300,baixo,Informacional,P1,Declarada,J6 - Entender qual profissional contratar,Problem Aware,Prediction Error,NOVA,Sem 4,Animador ou Recreador de Festas: Qual a Diferenca e Quando Contratar,SEO semantico. Fortalece autoridade topical dos dois clusters.
W1,17,/blog/kids-day-corporativo-organizar/,Blog,CRIAR,B2B,Eventos Corporativos Infantis,kids day corporativo como organizar,180,baixo,Informacional,P9,Declarada,J8 - Passo a passo do evento,Solution Aware,Perturbacao,NOVA,Sem 5,Kids Day Corporativo: Como Organizar do Zero em 2026,TOFU B2B. Suporte ao hub /recreacao-corporativa-sp/.
W1,18,/blog/recreacao-infantil-guarulhos/,Blog Geo,CRIAR,Geo,LPs Cidade,recreacao infantil em guarulhos como escolher,200,baixo,Informacional,P12,Declarada,J1 - Encontrar servico na minha cidade,Solution Aware,Frame Shift,NOVA,Sem 5,Recreacao Infantil em Guarulhos: Como Escolher e Contratar em 2026,Suporte para LP /recreacao-para-festa-infantil-guarulhos/ (W2).
W1,19,/show-musical-infantil-em-sao-paulo/,LP Servico,OTIMIZAR,Diverso,Animacao Infantil,show musical infantil sp,210,medio,Comercial,P1,Declarada,J3 - Show ao vivo para festa,Solution Aware,Frame Shift,POSICAO_RUIM pos 23,Sem 6,Show Musical Infantil em Sao Paulo | Agita Morango,Otimizacao on-page. Linkagem interna de LP Animacao.
W1,20,/personagens-para-festas-infantis-em-sao-paulo/,LP Servico,OTIMIZAR,Diverso,Animacao Infantil,personagens de festa infantil,90,medio,Comercial,P1,Declarada,J3 - Personagem favorito na festa,Solution Aware,Avatar Humano,POSICAO_RUIM pos 18,Sem 6,Personagens para Festas Infantis em Sao Paulo | Agita Morango,Otimizacao on-page. Linkagem interna de LP Animacao.
W1,21,/festas-tematicas-em-sao-paulo/,LP Servico,OTIMIZAR,Diverso,Aniversario Infantil Premium,festas tematicas infantis sp,210,medio,Comercial,P1,Declarada,J4 - Festa com tema do filho,Solution Aware,Frame Shift,POSICAO_RUIM pos 37,Sem 7,Festas Tematicas em Sao Paulo | Agita Morango,Otimizacao on-page. Linkagem interna de LP Aniversario.
W2,22,/recreacao-para-festa-infantil-guarulhos/,LP Geo,CRIAR,Geo,LPs Cidade,recreacao festa infantil guarulhos,200,baixo,Comercial,P12,Declarada,J1 - Contratar na minha cidade,Solution Aware,Perturbacao,NOVA,Sem 8,Recreacao para Festa Infantil em Guarulhos | Agita Morango,LP Geo nova. Maior mercado fora SP capital. Concorrente tiogirafa ja tem.
W2,23,/recreacao-para-festa-infantil-abc/,LP Geo,CRIAR,Geo,LPs Cidade,recreacao festa infantil abc paulista,150,baixo,Comercial,P12,Declarada,J1 - Contratar na minha cidade,Solution Aware,Perturbacao,NOVA,Sem 8,Recreacao para Festa Infantil no ABC Paulista | Agita Morango,LP Geo nova. Santo Andre + Sao Bernardo + Sao Caetano.
W2,24,/animacao-infantil-zona-leste-sp/,LP Geo,CRIAR,Geo,LPs Cidade,animacao infantil zona leste sp,120,baixo,Comercial,P12,Declarada,J1 - Contratar na minha cidade,Solution Aware,Perturbacao,NOVA,Sem 9,Animacao Infantil na Zona Leste de SP | Agita Morango,LP Geo nova. Cluster Zona Leste (Itaquera / Penha / Mooca).
W2,25,/recreacao-para-festa-infantil-barueri/,LP Geo,CRIAR,Geo,LPs Cidade,recreacao festa infantil barueri,100,baixo,Comercial,P12,Declarada,J1 - Contratar na minha cidade,Solution Aware,Perturbacao,NOVA,Sem 9,Recreacao para Festa Infantil em Barueri | Agita Morango,LP Geo nova. Cluster Barueri / Alphaville.
W2,26,/recreacao-para-festa-infantil-alphaville/,LP Geo,CRIAR,Geo,LPs Cidade,recreacao festa infantil alphaville,80,baixo,Comercial,P12,Declarada,J1 - Contratar na minha cidade,Solution Aware,Perturbacao,NOVA,Sem 9,Recreacao para Festa Infantil em Alphaville | Agita Morango,LP Geo nova. Publico premium. Diferenciacao por ticket e metodologia.
W2,27,/blog/natal-infantil-para-festas/,Blog Sazonal,CRIAR,Sazonal,Animacao Infantil,natal infantil para festas e eventos sp,0,baixo,Informacional,P1,Declarada,J4 - Decorar festa com tema natalino,Unaware,Perturbacao,NOVA,Sem 10,Natal Infantil para Festas em SP: Decoracao e Recreacao Tematica,Conteudo sazonal Dez/Jan. Linkagem para LP Animacao e Aniversario.
W2,28,/blog/halloween-festa-infantil/,Blog Sazonal,CRIAR,Sazonal,Animacao Infantil,halloween para festa infantil sp,0,baixo,Informacional,P1,Declarada,J4 - Festa tematica halloween,Unaware,Perturbacao,NOVA,Sem 10,Halloween para Festa Infantil em SP: Ideias e Recreacao Tematica,Conteudo sazonal Out/Nov. Linkagem para LP Festas Tematicas.
W2,29,/blog/carnaval-infantil-em-sp/,Blog Sazonal,CRIAR,Sazonal,Animacao Infantil,carnaval infantil em sao paulo,0,baixo,Informacional,P1,Declarada,J4 - Festa carnavalesca infantil,Unaware,Perturbacao,NOVA,Sem 10,Carnaval Infantil em SP: Como Fazer Festa Tematica com Recreacao,Conteudo sazonal Fev/Mar. Linkagem para LP Festas Tematicas.
W2,30,/blog/pascoa-festa-infantil/,Blog Sazonal,CRIAR,Sazonal,Aniversario Infantil Premium,pascoa para festa infantil,0,baixo,Informacional,P1,Declarada,J4 - Atividade pascoa para criancas,Unaware,Perturbacao,NOVA,Sem 11,Pascoa Infantil: Brincadeiras e Recreacao para Festa em SP,Conteudo sazonal Mar/Abr. Linkagem para LP Oficinas Criativas.
W2,31,/blog/reunion-infantil-planejamento/,Blog,CRIAR,Topo Funil,Aniversario Infantil Premium,reveillon infantil como organizar,0,baixo,Informacional,P1,Declarada,J4 - Reveillon com criancas,Unaware,Perturbacao,NOVA,Sem 11,Reveillon Infantil: Como Organizar Festa para Criancas em SP,Conteudo sazonal Dez/Jan. Topo de funil puro.
W3,32,/colonia-de-ferias-infantil-sp/,LP Servico,OTIMIZAR,Ferias,Colonia Ferias,colonia de ferias infantil sp,320,baixo,Comercial,P1,Declarada,J13 - Atividade para criancas nas ferias,Solution Aware,Perturbacao,OK melhor pagina do site pos 13,Sem 12,Colonia de Ferias Infantil em SP | Agita Morango,Melhor pagina do site. Otimizar para pos 1-5. Adicionar schema Event.
W3,33,/oficinas-criativas-infantis-em-sp/,LP Servico,OTIMIZAR,Oficinas,Recreacao Infantil Festas,oficinas criativas para criancas sp,590,medio,Comercial,P1,Declarada,J3 - Atividade criativa para festa,Solution Aware,Frame Shift,OK_PARCIAL pos 20,Sem 12,Oficinas Criativas Infantis em SP | Agita Morango,OK_PARCIAL pos 20. Otimizacao on-page + linkagem de LP Recreacao.
W3,34,/espaco-baby-para-festa-sp/,LP Servico,OTIMIZAR,Espaco,Espaco Baby,espaco baby para festa infantil,480,baixo,Comercial,P1,Declarada,J4 - Espaco seguro para bebes na festa,Solution Aware,Avatar Humano,OK_PARCIAL pos 12,Sem 12,Espaco Baby para Festa em SP | Seguro e Supervisionado | Agita Morango,OK_PARCIAL pos 12. Linkagem de LP Aniversario Premium.
W3,35,/camarim-infantil-para-festas-em-sao-paulo/,LP Servico,OTIMIZAR,Camarim,Animacao Infantil,camarim infantil festa,110,baixo,Comercial,P1,Declarada,J3 - Camarim temático para criancas,Product Aware,Avatar Humano,OK pos 6,Sem 12,Camarim Infantil para Festas em Sao Paulo | Agita Morango,OK pos 6. Otimizacao minima. Garantir linkagem interna.
W3,36,/aluguel-de-brinquedos-infantis-sp/,LP Servico,RESOLVER,Diverso,Recreacao Infantil Festas,aluguel de brinquedos para festa,210,medio,Comercial,P1,Declarada,J3 - Complementar a festa com brinquedos,Solution Aware,Frame Shift,CANIBAL_COMPETIDOR rankeando competitor,Sem 12,Aluguel de Brinquedos Infantis em SP | Agita Morango,CANIBAL: rankea para marca de concorrente. Resolver: noindex ou reescrever com KW propria.
W3,37,/blog/lugares-levar-crianca-sp/,Blog,CRIAR,Topo Funil,Recreacao Infantil Festas,lugares para levar criancas em sao paulo,0,baixo,Informacional,P1,Declarada,J13 - Passeio familiar SP,Unaware,Perturbacao,NOVA,Sem 12,Lugares para Levar Criancas em Sao Paulo: Guia Completo,TOFU amplo. Long tail. Linkagem para todas as LPs de servico.
W3,38,/blog/diversao-crianca-fim-semana/,Blog,CRIAR,Topo Funil,Recreacao Infantil Festas,o que fazer com criancas no fim de semana sp,0,baixo,Informacional,P1,Declarada,J13 - Atividade fim de semana familiar,Unaware,Perturbacao,NOVA,Sem 12,O Que Fazer com Criancas no Fim de Semana em SP: 20 Ideias,TOFU. Long tail. Linkagem para Colonia de Ferias + Oficinas.
W3,39,/blog/atividades-criancas-sao-paulo/,Blog,CRIAR,Topo Funil,Recreacao Infantil Festas,atividades para criancas em sao paulo,0,baixo,Informacional,P1,Declarada,J13 - Atividade educativa recreativa SP,Unaware,Perturbacao,NOVA,Sem 12,Atividades para Criancas em Sao Paulo: 25 Opcoes em 2026,TOFU amplo. Brand awareness. Linkagem para todo o cluster Recreacao.
