URL,Status_Sitemap,Tipo,Categoria,Keywords_Rankeia,Melhor_Posicao,Volume_Estimado,Problema_SEO,Acao_Recomendada
/festa-de-ano-novo-infantil-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,,,,SEM_KW,"Sem dados SEMrush. Sazonal importante"
/aniversario-infantil-em-sao-paulo/,Sitemap,LP Serviço,Aniversário,,,,SEM_KW,"Sem dados SEMrush. Keyword estratégica. Verificar indexação urgente"
/aluguel-de-brinquedos-infantis-sp/,Sitemap,LP Serviço,Aluguel,"los chicos festas (210v) | tonton locação de brinquedos (210v) | bombando brinque (170v) | kidiversão (110v) | aluguel de fliper (90v) | brinquedos de festa para alugar (90v) | decoração locação (140v)",2,1020,CANIBAL_COMPETIDOR,"Ranqueia para nomes de concorrentes (Los Chicos, Tonton, Bombando Brinque). Sinal: conteúdo cita concorrentes ou Google confunde. Revisar conteúdo"
/festa-do-pijama-em-sao-paulo/,Sitemap,LP Serviço,Festa,"o que fazer na festa do pijama (210v) | festa noite do pijama (140v) | festa do pijama fotos (140v)",88,490,POSICAO_RUIM,"Posição 88. Keyword informacional ranqueando. Otimizar para conversão"
/festa-junina-infantil-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,"noiva de quadrilha infantil (90v)",sem ranking,90,POSICAO_RUIM,"Keyword ranqueada é irrelevante para conversão. Otimizar para 'festa junina infantil sp'"
/halloween-para-festas-e-eventos-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,,,,SEM_KW,"Sem dados SEMrush. Sazonal importante"
/kids-day-e-family-day-corporativo-em-sao-paulo/,Sitemap,LP Corporativa,B2B,,,,SEM_KW,"Sem dados SEMrush. URL órfã /kids-day-e-family-day-em-sao-paulo/ ranqueia para 'kiddies day' (320v) em pos 92. Verificar se há conflito"
/personalizados-para-festa-infantil-sp/,Sitemap,LP Serviço,Aluguel,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação"
/mesas-e-cadeiras-infantis-em-sao-paulo/,Sitemap,LP Serviço,Aluguel,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação"
/natal-infantil-para-festas-e-eventos-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,,,,SEM_KW,"Sem dados SEMrush. Sazonal importante"
/equipe-de-recreadores-infantis-em-sao-paulo/,Sitemap,LP Serviço,Equipe,,,,SEM_KW,"Sem dados SEMrush. Keyword 'recreador infantil' (1k vol) está sendo capturada pela Home (pos 15). Fortalecer esta LP"
/oficinas-criativas-infantis-em-sp/,Sitemap,LP Serviço,Atividade,"oficinas crianças (590v) | oficinas para crianças (390v) | oficinas para festa infantil (140v) | oficina festa infantil (140v) | oficinas criativas (140v) | oficina para crianças (210v) | mini oficina infantil (90v) | oficina criativa para crianças (90v) | ideias de oficinas para educação infantil (110v) | oficinas infantis (110v) | ideias de oficinas para festa infantil (90v)",20,2100,OK_PARCIAL,"Segunda melhor página. 10+ keywords rastreadas. Mas 'oficinas crianças' (590v) sem ranking. Melhorar otimização"
/parcerias-e-operacoes-terceirizadas-em-sp/,Sitemap,LP Corporativa,B2B,,,,SEM_KW,"Sem dados SEMrush. Oportunidade B2B: 'terceirização recreação infantil sp'"
/pintura-artistica-infantil-para-festas/,Sitemap,LP Serviço,Atividade,,,,SEM_KW,"Sem dados SEMrush. Verificar indexação"
/show-de-magica-infantil-em-sao-paulo/,Sitemap,LP Serviço,Show,"circo magico buffet (90v)",46,90,POSICAO_RUIM,"Ranqueia para keyword de buffet (irrelevante). LP de mágico órfã /magico-para-festa-infantil-em-sao-paulo/ ranqueia melhor (pos 24, 210v)"
/empresa-de-recreacao-em-sao-paulo/,Sitemap,LP Serviço,Institucional,,,,SEM_KW,"Sem dados SEMrush. Keyword estratégica 'empresa de recreação infantil' (110v) está na Home (pos 16)"
/festas-tematicas-em-sao-paulo/,Sitemap,LP Serviço,Festa,"festas tematicas (210v)",37,210,POSICAO_RUIM,"Posição 37. Melhorar otimização on-page"
/trabalhe-conosco-recreador-infantil/,Sitemap,Institucional,RH,"recreadora (390v) | o que é recreador infantil (90v)",84,480,CANIBAL_INVERTIDO,"Ranqueia 'recreadora' (pos 84) mas intenção é RH/emprego, não o serviço. Sinal: Google confunde com LP de serviço"
/sobre-a-agita-morango/,Sitemap,Institucional,Sobre,,,,SEM_KW,"Sem dados SEMrush. Importante para E-E-A-T. Atualizar com 15 anos de mercado e clientes premium"
/pascoa-para-festas-e-eventos-em-sao-paulo/,Sitemap,LP Sazonal,Sazonal,,,,SEM_KW,"Sem dados SEMrush. Sazonal importante"
/personagens-para-festas-infantis-em-sao-paulo/,Sitemap,LP Serviço,Personagem,"personagens de festa infantil (90v) | festa de personagens (90v)",18,180,POSICAO_RUIM,"Posição 18-60. Melhorar otimização"
/politica-de-cookies-br/,Sitemap,Legal,Legal,,,,SEM_KW,"Legal. Sem ação SEO necessária"
/politica-de-privacidade/,Sitemap,Legal,Legal,,,,SEM_KW,"Legal. Sem ação SEO necessária"
/camarim-infantil-para-festas-em-sao-paulo/,Sitemap,LP Serviço,Atividade,"camarim infantil festa (110v) | camarim festa infantil (110v) | camarim para festa infantil (110v) | o que é camarim (110v) | camarim festas e fantasias (90v)",6,530,OK,"Boa performance. Pos 6-15 para múltiplas keywords. Página mais ranqueada do site fora da Home"
/kids-day-e-family-day-em-sao-paulo/,ORFÃ,LP Corporativa,B2B,"kiddies day (320v)",92,320,ORFÃ,"URL antiga. Criar redirect 301 para /kids-day-e-family-day-corporativo-em-sao-paulo/"
/animadores-de-festa-infantil-em-sao-paulo/,ORFÃ,LP Serviço,Core,"animadores para festa infantil (320v)",54,320,ORFÃ,"URL órfã com keywords relevantes (pos 54). Ou adicionar ao sitemap ou criar redirect para /animacao-infantil-para-festas-em-sp/"
/magico-para-festa-infantil-em-sao-paulo/,ORFÃ,LP Serviço,Show,"magico em festa infantil (210v) | mágico para festas infantil (110v) | circo magico buffet infantil (110v)",22,430,ORFÃ_ATIVA,"PRIORIDADE: Esta página não está no sitemap mas ranqueia pos 22 (210v). Adicionar ao sitemap.xml ou verificar se existe mesmo"
/ativacoes-de-marca-experiencias-sensoriais-sp/,ORFÃ,LP Corporativa,B2B,"ativações para eventos (110v)",62,110,ORFÃ,"URL alternativa. Verificar se existe. Consolidar com /ativacoes-de-marca-com-criancas-em-sao-paulo/"
/baladinha-kids-e-dj-em-sao-paulo/,ORFÃ,LP Serviço,Show,"baladinha casa de festas infantil (110v)",31,110,ORFÃ,"URL antiga. Criar redirect 301 para /baladinha-kids-e-dj-infantil-em-sao-paulo/"
/aniversarios-e-festas-infantis-em-sao-paulo/,ORFÃ,LP Serviço,Aniversário,"casa ideia recreação infantil (110v)",64,110,ORFÃ,"URL antiga. Verificar se existe. Redirect para /aniversario-infantil-em-sao-paulo/"
/blog-de-festa-infantil/,ORFÃ,Blog,Blog,,,,ORFÃ,"Aparece em queries de marca. Provavelmente blog inexistente ou vazio. Verificar"
